Logging to logs/train_autoenc-baseline_20260506_120424.log
Run: autoenc-baseline
Loaded stats from norm_stats.json
Manifest: 1,000,000 entries selected
  train: 900,000   val: 100,000
Device: cuda
Loading decoder from checkpoints/baseline/checkpoint_epoch10.pt
Decoder epoch 10  val_loss=0.075368  (frozen)
Encoder trainable parameters: 11,037,721

Epoch       Train     T-cont    T-valve         Val     V-cont    V-valve
-------------------------------------------------------------------------
1        0.568182   0.320982   0.247200    0.349264   0.215509   0.133754
2        0.246680   0.148943   0.097736    0.200269   0.111756   0.088513
3        0.162894   0.090313   0.072582    0.144040   0.078202   0.065839
4        0.127565   0.068704   0.058861    0.115729   0.062044   0.053685
5        0.110862   0.058825   0.052037    0.104682   0.055060   0.049621
6        0.100278   0.052882   0.047396    0.092723   0.049409   0.043313
7        0.092258   0.048662   0.043596    0.085600   0.045604   0.039996
8        0.087467   0.046132   0.041335    0.082037   0.043446   0.038590
9        0.084277   0.044525   0.039752    0.079476   0.042074   0.037402
10       0.081421   0.043022   0.038399    0.076909   0.040850   0.036059
11       0.078918   0.041665   0.037253    0.075894   0.040364   0.035530
12       0.076389   0.040313   0.036076    0.075544   0.039972   0.035572
13       0.074784   0.039415   0.035369    0.073844   0.039161   0.034683
14       0.073106   0.038539   0.034566    0.073548   0.038619   0.034929
15       0.071185   0.037633   0.033553    0.073934   0.038630   0.035304
16       0.070822   0.037409   0.033414    0.076259   0.040098   0.036161
17       0.069253   0.036732   0.032520    0.070993   0.037511   0.033482
18       0.068829   0.036505   0.032324    0.071363   0.037606   0.033757
19       0.068472   0.036316   0.032156    0.072049   0.038268   0.033781
20       0.067566   0.035917   0.031649    0.071884   0.037726   0.034158
