Logging to logs/train_20260424_130543.log
Loaded stats from norm_stats.json
Manifest: 1,000,000 entries selected
  train: 900,000   val: 100,000
Device: cuda
Trainable parameters: 11,043,324

Epoch       Train     T-cont    T-valve         Val     V-cont    V-valve
-------------------------------------------------------------------------
1        0.974160   0.624886   0.349275    0.505265   0.314661   0.190604
2        0.344676   0.200967   0.143709    0.241349   0.133162   0.108187
3        0.195756   0.106670   0.089086    0.165306   0.089625   0.075681
4        0.145606   0.077360   0.068246    0.136062   0.071487   0.064575
5        0.120183   0.062386   0.057797    0.112239   0.057556   0.054683
6        0.102960   0.052476   0.050484    0.096394   0.048716   0.047678
7        0.090467   0.045568   0.044899    0.087362   0.043507   0.043855
8        0.080729   0.040411   0.040318    0.081112   0.040219   0.040893
9        0.074609   0.037296   0.037313    0.076371   0.037865   0.038506
10       0.071779   0.035913   0.035866    0.075368   0.037360   0.038007
