Logging to logs/train_weighted-bce_20260505_132331.log
Run: weighted-bce
Loaded stats from norm_stats.json
Manifest: 1,000,000 entries selected
  train: 900,000   val: 100,000
Device: cuda
Trainable parameters: 11,043,324

Epoch       Train     T-cont    T-valve         Val     V-cont    V-valve
-------------------------------------------------------------------------
1        0.641520   0.305940   0.335580    0.401907   0.148022   0.253885
2        0.337446   0.114804   0.222642    0.300338   0.096902   0.203436
3        0.273470   0.084980   0.188490    0.256550   0.077211   0.179339
4        0.241145   0.070761   0.170384    0.228084   0.065394   0.162690
5        0.220774   0.061999   0.158775    0.209720   0.057541   0.152180
6        0.206950   0.056216   0.150734    0.195489   0.051500   0.143989
7        0.195931   0.051653   0.144278    0.186686   0.048495   0.138191
8        0.187511   0.048293   0.139218    0.180892   0.045413   0.135479
9        0.180022   0.045357   0.134665    0.174746   0.043062   0.131684
10       0.174046   0.043046   0.131000    0.171433   0.041429   0.130004
11       0.168718   0.040991   0.127727    0.167799   0.039772   0.128028
12       0.164538   0.039379   0.125159    0.165972   0.039161   0.126811
13       0.160023   0.037692   0.122331    0.170671   0.040537   0.130134
14       0.156490   0.036430   0.120060    0.159653   0.036987   0.122666
15       0.152745   0.035109   0.117635    0.162109   0.037346   0.124763
16       0.150096   0.034120   0.115976    0.167995   0.038820   0.129175
17       0.147145   0.033063   0.114083    0.164543   0.037484   0.127058
18       0.144715   0.032200   0.112515    0.159185   0.036309   0.122876
19       0.142563   0.031502   0.111061    0.149349   0.033504   0.115845
20       0.140181   0.030681   0.109499    0.151369   0.033454   0.117915
